att_faces/pos\0.jpg 1 36 85 39 15
att_faces/pos\1.jpg 1 27 83 37 13
att_faces/pos\10.jpg 1 29 80 37 13
att_faces/pos\11.jpg 1 32 76 32 14
att_faces/pos\12.jpg 1 30 78 39 14
att_faces/pos\13.jpg 1 30 77 36 17
att_faces/pos\14.jpg 1 28 74 41 19
att_faces/pos\15.jpg 1 29 72 37 21
att_faces/pos\16.jpg 1 33 76 35 18
att_faces/pos\17.jpg 1 27 76 40 19
att_faces/pos\18.jpg 1 25 77 44 20
att_faces/pos\19.jpg 1 29 73 38 22
att_faces/pos\2.jpg 1 36 77 41 19
att_faces/pos\20.jpg 1 31 81 40 19
att_faces/pos\21.jpg 1 25 77 46 20
att_faces/pos\22.jpg 1 34 77 43 18
att_faces/pos\23.jpg 1 32 81 44 17
att_faces/pos\24.jpg 1 10 79 44 17
att_faces/pos\25.jpg 1 10 74 43 22
att_faces/pos\26.jpg 1 18 80 46 19
att_faces/pos\27.jpg 1 15 78 42 20
att_faces/pos\28.jpg 1 16 78 45 20
att_faces/pos\29.jpg 1 26 81 47 17
att_faces/pos\3.jpg 1 26 84 40 15
att_faces/pos\30.jpg 1 42 79 44 20
att_faces/pos\31.jpg 1 16 84 50 15
att_faces/pos\32.jpg 1 27 81 45 18
att_faces/pos\33.jpg 1 12 81 48 18
att_faces/pos\34.jpg 1 28 82 43 17
att_faces/pos\35.jpg 1 33 81 47 17
att_faces/pos\36.jpg 1 12 82 47 18
att_faces/pos\37.jpg 1 21 81 49 17
att_faces/pos\38.jpg 1 16 80 51 18
att_faces/pos\39.jpg 1 25 83 49 18
att_faces/pos\4.jpg 1 16 77 47 18
att_faces/pos\40.jpg 1 21 78 42 15
att_faces/pos\41.jpg 1 11 78 49 20
att_faces/pos\42.jpg 1 16 78 53 18
att_faces/pos\43.jpg 1 28 79 48 19
att_faces/pos\44.jpg 1 17 77 42 17
att_faces/pos\45.jpg 1 13 81 45 14
att_faces/pos\46.jpg 1 14 80 48 18
att_faces/pos\47.jpg 1 7 77 50 20
att_faces/pos\48.jpg 1 17 82 45 17
att_faces/pos\49.jpg 1 22 84 46 13
att_faces/pos\5.jpg 1 42 76 39 20
att_faces/pos\6.jpg 1 16 76 38 20
att_faces/pos\7.jpg 1 23 72 46 20
att_faces/pos\8.jpg 1 30 78 39 18
att_faces/pos\9.jpg 1 33 64 38 24
